r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 16 168 35.709 12.078 185.293 17.539 64.869 -81.288 27.468 9.291 142.533 14.73 59.437 -74.481 30 9.15
0 16 176 39.253 13.221 203.797 18.565 67.156 -84.003 30.195 10.17 156.767 15.671 61.532 -76.969 30 9.46
0 16 184 42.983 14.424 223.275 19.584 69.408 -86.684 33.064 11.096 171.75 16.604 63.595 -79.425 30 9.765
0 16 192 47.098 15.751 244.756 20.643 71.734 -89.46 36.229 12.116 188.274 17.575 65.727 -81.968 30 10.081
0 16 200 52.538 17.506 273.157 21.956 74.597 -92.885 40.414 13.466 210.121 18.778 68.35 -85.107 30 10.47
0 16 208 58.456 19.415 304.06 23.289 77.482 -96.346 44.967 14.935 233.892 19.999 70.994 -88.278 30 10.863
0 16 216 64.836 21.473 337.369 24.631 80.37 -99.818 49.874 16.518 259.514 21.228 73.64 -91.46 30 11.258
0 16 224 71.513 23.627 372.229 25.946 83.186 -103.211 55.01 18.174 286.33 22.433 76.22 -94.568 30 11.643
0 16 232 77.641 25.603 404.22 27.084 85.613 -106.139 59.724 19.695 310.939 23.477 78.444 -97.251 30 11.975
0 16 240 83.715 27.563 435.937 28.157 87.89 -108.891 64.396 21.202 335.336 24.459 80.531 -99.772 30 12.288
0 16 248 91.176 29.969 474.891 29.406 90.536 -112.091 70.136 23.053 365.301 25.604 82.955 -102.705 30 12.651
0 24 0 0.551 1.54 0.096 2.784 -20.607 17.947 0.424 1.185 0.074 2.141 -18.881 16.444 30 2.377
0 24 8 0.619 1.562 0.448 2.823 -18.901 10.567 0.476 1.201 0.345 2.172 -17.318 9.682 30 1.927
0 24 16 0.732 1.598 1.037 2.889 -16.353 4.765 0.563 1.229 0.798 2.222 -14.983 4.366 30 1.574
0 24 24 0.987 1.68 2.368 3.037 -11.594 -2.559 0.759 1.293 1.821 2.337 -10.623 -2.345 30 1.216
0 24 32 1.354 1.799 4.284 3.251 -6.274 -8.979 1.041 1.384 3.295 2.501 -5.749 -8.227 30 1.185
0 24 40 1.791 1.94 6.565 3.506 -1.349 -14.26 1.377 1.492 5.05 2.697 -1.236 -13.066 30 1.447
0 24 48 2.372 2.127 9.598 3.845 3.781 -19.445 1.824 1.636 7.383 2.958 3.464 -17.816 30 1.881
0 24 56 3.135 2.373 13.582 4.29 9.034 -24.603 2.411 1.826 10.448 3.3 8.277 -22.542 30 2.408
0 24 64 4.103 2.686 18.638 4.855 14.236 -29.665 3.156 2.066 14.337 3.734 13.044 -27.18 30 2.974
0 24 72 5.212 3.043 24.43 5.501 18.962 -34.28 4.009 2.341 18.792 4.232 17.374 -31.41 30 3.518
0 24 80 6.565 3.48 31.495 6.29 23.609 -38.868 5.05 2.677 24.227 4.839 21.632 -35.613 30 4.075
0 24 88 8.188 4.003 39.968 7.237 28.142 -43.411 6.299 3.079 30.745 5.567 25.786 -39.776 30 4.643
0 24 96 10.077 4.613 49.83 8.333 32.488 -47.84 7.752 3.548 38.331 6.414 29.767 -43.834 30 5.209
0 24 104 12.207 5.299 60.948 9.486 36.585 -52.088 9.39 4.077 46.883 7.369 33.522 -47.726 30 5.735
0 24 112 14.566 6.06 73.265 10.652 40.444 -56.155 11.204 4.662 56.357 8.42 37.058 -51.452 30 6.21
0 24 120 17.081 6.872 86.399 11.792 44.002 -59.959 13.14 5.286 66.461 9.464 40.317 -54.938 30 6.649
0 24 128 19.766 7.738 100.414 12.913 47.334 -63.568 15.204 5.952 77.241 10.492 43.371 -58.245 30 7.065
0 24 136 22.887 8.744 116.71 14.116 50.761 -67.324 17.605 6.727 89.777 11.594 46.51 -61.687 30 7.497
0 24 144 26.081 9.775 133.387 15.255 53.888 -70.789 20.062 7.519 102.605 12.638 49.375 -64.861 30 7.896
0 24 152 29.312 10.817 150.255 16.329 56.748 -73.987 22.548 8.321 115.581 13.622 51.996 -67.791 30 8.264
0 24 160 32.618 11.883 167.515 17.358 59.423 -77.001 25.091 9.141 128.858 14.565 54.447 -70.553 30 8.611
0 24 168 36.034 12.985 185.349 18.359 61.969 -79.889 27.718 9.989 142.576 15.481 56.78 -73.199 30 8.942
0 24 176 39.578 14.128 203.853 19.339 64.417 -82.683 30.444 10.868 156.81 16.38 59.023 -75.759 30 9.263
0 24 184 43.308 15.332 223.331 20.315 66.817 -85.436 33.314 11.794 171.793 17.274 61.221 -78.281 30 9.578
0 24 192 47.423 16.659 244.813 21.334 69.284 -88.281 36.479 12.814 188.317 18.208 63.483 -80.888 30 9.904
0 24 200 52.862 18.413 273.213 22.601 72.307 -91.784 40.663 14.164 210.164 19.369 66.252 -84.098 30 10.305
0 24 208 58.781 20.323 304.116 23.892 75.34 -95.317 45.216 15.633 233.935 20.551 69.031 -87.335 30 10.708
0 24 216 65.161 22.38 337.425 25.195 78.363 -98.855 50.124 17.216 259.558 21.745 71.801 -90.577 30 11.112
0 24 224 71.838 24.534 372.285 26.476 81.3 -102.305 55.26 18.872 286.373 22.919 74.492 -93.738 30 11.506
0 24 232 77.966 26.511 404.277 27.587 83.822 -105.28 59.973 20.393 310.982 23.937 76.803 -96.464 30 11.846
0 24 240 84.04 28.47 435.993 28.636 86.184 -108.072 64.646 21.9 335.379 24.898 78.967 -99.023 30 12.164
0 24 248 91.501 30.877 474.948 29.86 88.92 -111.317 70.386 23.751 365.344 26.02 81.474 -101.995 30 12.533
0 32 0 1.025 2.861 0.178 5.172 -25.333 22.063 0.788 2.201 0.137 3.978 -23.211 20.215 30 3.056
0 32 8 1.092 2.883 0.53 5.211 -24.18 16.12 0.84 2.218 0.408 4.009 -22.155 14.77 30 2.714
0 32 16 1.205 2.919 1.119 5.277 -22.374 10.684 0.927 2.246 0.861 4.059 -20.5 9.789 30 2.407
0 32 24 1.46 3.001 2.45 5.426 -18.743 3.462 1.123 2.309 1.884 4.174 -17.173 3.172 30 2.029
0 32 32 1.827 3.12 4.366 5.64 -14.322 -3.054 1.405 2.4 3.358 4.338 -13.123 -2.799 30 1.788
0 32 40 2.264 3.261 6.647 5.894 -9.926 -8.507 1.741 2.508 5.113 4.534 -9.095 -7.795 30 1.746
0 32 48 2.845 3.448 9.68 6.233 -5.076 -13.929 2.188 2.652 7.446 4.795 -4.651 -12.762 30 1.9
0 32 56 3.608 3.694 13.664 6.678 0.14 -19.376 2.775 2.842 10.511 5.137 0.128 -17.753 30 2.238
0 32 64 4.576 4.007 18.72 7.243 5.514 -24.762 3.52 3.082 14.4 5.571 5.052 -22.688 30 2.703
0 32 72 5.685 4.364 24.512 7.89 10.542 -29.695 4.373 3.357 18.855 6.069 9.659 -27.209 30 3.206
0 32 80 7.039 4.801 31.577 8.66 15.591 -34.61 5.414 3.693 24.29 6.676 14.285 -31.711 30 3.747
0 32 88 8.661 5.324 40.05 9.526 20.588 -39.477 6.663 4.096 30.808 7.404 18.864 -36.171 30 4.29
0 32 96 10.55 5.934 49.912 10.464 25.419 -44.215 8.116 4.564 38.394 8.248 23.29 -40.512 30 4.812
0 32 104 12.68 6.621 61.03 11.449 29.993 -48.747 9.754 5.093 46.946 9.15 27.481 -44.665 30 5.316
0 32 112 15.039 7.381 73.347 12.462 34.303 -53.071 11.568 5.678 56.42 10.079 31.431 -48.627 30 5.804
0 32 120 17.555 8.193 86.481 13.469 38.269 -57.1 13.503 6.302 66.524 11.001 35.064 -52.319 30 6.263
0 32 128 20.239 9.059 100.496 14.473 41.972 -60.91 15.568 6.968 77.305 11.921 38.457 -55.809 30 6.699
0 32 136 23.36 10.066 116.792 15.562 45.763 -64.859 17.969 7.743 89.84 12.919 41.931 -59.428 30 7.153
0 32 144 26.554 11.096 133.469 16.604 49.207 -68.489 20.426 8.535 102.668 13.874 45.086 -62.754 30 7.571
0 32 152 29.785 12.138 150.337 17.595 52.341 -71.828 22.912 9.337 115.644 14.782 47.958 -65.813 30 7.956
0 32 160 33.091 13.204 167.597 18.551 55.258 -74.966 25.455 10.157 128.921 15.658 50.631 -68.688 30 8.318
0 32 168 36.507 14.306 185.431 19.486 58.023 -77.965 28.082 11.005 142.639 16.515 53.164 -71.436 30 8.664
0 32 176 40.051 15.449 203.935 20.408 60.671 -80.86 30.808 11.884 156.873 17.359 55.59 -74.088 30 8.998
0 32 184 43.782 16.653 223.413 21.329 63.254 -83.705 33.678 12.81 171.856 18.203 57.957 -76.695 30 9.325
0 32 192 47.896 17.98 244.895 22.296 65.901 -86.64 36.843 13.831 188.381 19.089 60.383 -79.384 30 9.663
0 32 200 53.336 19.734 273.295 23.503 69.13 -90.245 41.027 15.18 210.227 20.195 63.341 -82.688 30 10.078
0 32 208 59.255 21.644 304.198 24.738 72.354 -93.873 45.58 16.649 233.998 21.327 66.295 -86.012 30 10.495
0 32 216 65.634 23.702 337.507 25.99 75.554 -97.498 50.488 18.232 259.621 22.474 69.227 -89.333 30 10.911
0 32 224 72.311 25.855 372.367 27.225 78.65 -101.027 55.624 19.889 286.436 23.606 72.064 -92.567 30 11.316
0 32 232 78.439 27.832 404.359 28.3 81.3 -104.064 60.337 21.409 311.045 24.59 74.492 -95.35 30 11.664
0 32 240 84.513 29.791 436.075 29.316 83.775 -106.912 65.01 22.916 335.442 25.521 76.759 -97.959 30 11.99
0 32 248 91.974 32.198 475.03 30.505 86.633 -110.216 70.75 24.768 365.407 26.61 79.379 -100.986 30 12.368
0 40 0 1.593 4.448 0.276 8.041 -29.347 25.56 1.225 3.422 0.212 6.185 -26.89 23.419 30 3.75
0 40 8 1.66 4.47 0.629 8.08 -28.481 20.612 1.277 3.438 0.484 6.216 -26.096 18.886 30 3.485
0 40 16 1.773 4.506 1.218 8.145 -27.093 15.571 1.364 3.466 0.937 6.266 -24.825 14.267 30 3.222
0 40 24 2.028 4.589 2.548 8.291 -24.199 8.552 1.56 3.53 1.96 6.381 -22.173 7.836 30 2.876
0 40 32 2.395 4.707 4.464 8.498 -20.503 2.059 1.842 3.621 3.434 6.545 -18.786 1.887 30 2.606
0 40 40 2.832 4.848 6.746 8.74 -16.657 -3.451 2.179 3.729 5.189 6.741 -15.262 -3.162 30 2.455
0 40 48 3.413 5.035 9.779 9.055 -12.24 -8.982 2.625 3.873 7.522 7.002 -11.215 -8.23 30 2.415
0 40 56 4.176 5.281 13.763 9.457 -7.31 -14.586 3.212 4.063 10.587 7.344 -6.698 -13.365 30 2.516
0 40 64 5.144 5.594 18.819 9.949 -2.059 -20.165 3.957 4.303 14.476 7.778 -1.887 -18.477 30 2.756
0 40 72 6.254 5.952 24.61 10.491 2.989 -25.304 4.811 4.578 18.931 8.273 2.739 -23.185 30 3.078
0 40 80 7.607 6.388 31.675 11.124 8.169 -30.443 5.851 4.914 24.366 8.852 7.485 -27.893 30 3.482
0 40 88 9.23 6.912 40.149 11.845 13.388 -35.547 7.1 5.317 30.884 9.513 12.267 -32.57 30 3.944
0 40 96 11.119 7.521 50.01 12.64 18.502 -40.523 8.553 5.785 38.469 10.242 16.952 -37.129 30 4.435
0 40 104 13.248 8.208 61.128 13.487 23.391 -45.285 10.191 6.314 47.022 11.018 21.432 -41.492 30 4.931
