r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 16 40 0.366 0.258 1.627 0.467 5.395 -12.655 0.282 0.199 1.252 0.359 4.943 -11.595 30 1.157
0 16 48 0.512 0.305 2.385 0.551 8.459 -15.641 0.394 0.235 1.835 0.424 7.75 -14.331 30 1.494
0 16 56 0.702 0.366 3.381 0.662 11.446 -18.59 0.54 0.282 2.601 0.51 10.488 -17.033 30 1.835
0 16 64 0.945 0.445 4.645 0.804 14.313 -21.48 0.727 0.342 3.573 0.618 13.114 -19.681 30 2.169
0 16 72 1.222 0.534 6.093 0.965 16.873 -24.122 0.94 0.411 4.687 0.743 15.461 -22.102 30 2.475
0 16 80 1.56 0.643 7.86 1.163 19.376 -26.761 1.2 0.495 6.046 0.894 17.754 -24.52 30 2.78
0 16 88 1.966 0.774 9.978 1.399 21.821 -29.393 1.512 0.595 7.675 1.076 19.994 -26.931 30 3.082
0 16 96 2.438 0.926 12.443 1.674 24.178 -31.977 1.875 0.713 9.572 1.288 22.153 -29.299 30 3.379
0 16 104 2.97 1.098 15.223 1.985 26.421 -34.475 2.285 0.845 11.71 1.527 24.208 -31.588 30 3.666
0 16 112 3.56 1.288 18.302 2.329 28.554 -36.882 2.739 0.991 14.079 1.791 26.163 -33.794 30 3.943
0 16 120 4.189 1.491 21.586 2.695 30.54 -39.148 3.222 1.147 16.604 2.073 27.983 -35.87 30 4.204
0 16 128 4.86 1.708 25.089 3.087 32.419 -41.311 3.739 1.314 19.3 2.374 29.704 -37.852 30 4.455
0 16 136 5.64 1.959 29.163 3.542 34.369 -43.572 4.339 1.507 22.433 2.724 31.491 -39.924 30 4.719
0 16 144 6.439 2.217 33.333 4.007 36.164 -45.668 4.953 1.705 25.64 3.083 33.135 -41.844 30 4.965
0 16 152 7.247 2.477 37.55 4.478 37.817 -47.609 5.574 1.906 28.884 3.445 34.651 -43.622 30 5.195
0 16 160 8.073 2.744 41.865 4.96 39.374 -49.445 6.21 2.111 32.204 3.816 36.077 -45.304 30 5.415
0 16 168 8.927 3.019 46.323 5.458 40.865 -51.208 6.867 2.323 35.633 4.199 37.443 -46.92 30 5.629
0 16 176 9.813 3.305 50.949 5.975 42.306 -52.919 7.549 2.542 39.192 4.596 38.763 -48.487 30 5.839
0 16 184 10.746 3.606 55.819 6.519 43.724 -54.607 8.266 2.774 42.937 5.014 40.063 -50.034 30 6.048
0 16 192 11.774 3.938 61.189 7.118 45.189 -56.356 9.057 3.029 47.069 5.476 41.405 -51.637 30 6.268
0 16 200 13.134 4.377 68.289 7.911 46.993 -58.514 10.103 3.367 52.53 6.086 43.058 -53.614 30 6.544
0 16 208 14.614 4.854 76.015 8.75 48.811 -60.694 11.242 3.734 58.473 6.749 44.723 -55.612 30 6.822
0 16 216 16.209 5.368 84.342 9.596 50.63 -62.882 12.469 4.129 64.879 7.465 46.39 -57.616 30 7.088
0 16 224 17.878 5.907 93.057 10.424 52.404 -65.019 13.753 4.544 71.583 8.212 48.016 -59.574 30 7.335
0 16 232 19.41 6.401 101.055 11.141 53.933 -66.863 14.931 4.924 77.735 8.869 49.416 -61.264 30 7.544
0 16 240 20.929 6.891 108.984 11.817 55.368 -68.597 16.099 5.301 83.834 9.488 50.731 -62.853 30 7.741
0 16 248 22.794 7.492 118.723 12.604 57.034 -70.613 17.534 5.763 91.325 10.209 52.258 -64.7 30 7.969
0 24 0 0.138 0.385 0.024 0.696 -12.981 11.306 0.106 0.296 0.018 0.535 -11.894 10.359 30 1.45
0 24 8 0.155 0.39 0.112 0.706 -11.907 6.657 0.119 0.3 0.086 0.543 -10.91 6.099 30 1.154
0 24 16 0.183 0.4 0.259 0.722 -10.302 3.002 0.141 0.307 0.199 0.556 -9.439 2.75 30 0.914
0 24 24 0.247 0.42 0.592 0.759 -7.304 -1.612 0.19 0.323 0.455 0.584 -6.692 -1.477 30 0.65
0 24 32 0.338 0.45 1.071 0.813 -3.952 -5.656 0.26 0.346 0.824 0.625 -3.621 -5.183 30 0.608
0 24 40 0.448 0.485 1.641 0.877 -0.85 -8.983 0.344 0.373 1.263 0.674 -0.778 -8.231 30 0.782
0 24 48 0.593 0.532 2.4 0.961 2.382 -12.249 0.456 0.409 1.846 0.739 2.182 -11.224 30 1.068
0 24 56 0.784 0.593 3.396 1.072 5.691 -15.499 0.603 0.456 2.612 0.825 5.214 -14.201 30 1.405
0 24 64 1.026 0.671 4.659 1.214 8.968 -18.688 0.789 0.516 3.584 0.934 8.217 -17.123 30 1.758
0 24 72 1.303 0.761 6.107 1.375 11.945 -21.595 1.002 0.585 4.698 1.058 10.945 -19.787 30 2.091
0 24 80 1.641 0.87 7.874 1.573 14.873 -24.485 1.263 0.669 6.057 1.21 13.627 -22.435 30 2.426
0 24 88 2.047 1.001 9.992 1.809 17.729 -27.347 1.575 0.77 7.686 1.392 16.244 -25.057 30 2.761
0 24 96 2.519 1.153 12.457 2.085 20.466 -30.137 1.938 0.887 9.583 1.603 18.752 -27.614 30 3.088
0 24 104 3.052 1.325 15.237 2.395 23.047 -32.814 2.347 1.019 11.721 1.842 21.117 -30.066 30 3.403
0 24 112 3.641 1.515 18.316 2.739 25.478 -35.375 2.801 1.165 14.089 2.107 23.345 -32.413 30 3.705
0 24 120 4.27 1.718 21.6 3.106 27.719 -37.771 3.285 1.322 16.615 2.389 25.398 -34.609 30 3.988
0 24 128 4.941 1.934 25.103 3.497 29.819 -40.045 3.801 1.488 19.31 2.69 27.322 -36.692 30 4.258
0 24 136 5.722 2.186 29.177 3.952 31.977 -42.412 4.401 1.682 22.444 3.04 29.3 -38.86 30 4.54
0 24 144 6.52 2.444 33.347 4.417 33.947 -44.594 5.016 1.88 25.651 3.398 31.105 -40.86 30 4.803
0 24 152 7.328 2.704 37.564 4.888 35.749 -46.609 5.637 2.08 28.895 3.76 32.755 -42.706 30 5.047
0 24 160 8.154 2.971 41.879 5.37 37.434 -48.507 6.273 2.285 32.214 4.131 34.299 -44.445 30 5.278
0 24 168 9.008 3.246 46.337 5.868 39.038 -50.327 6.93 2.497 35.644 4.514 35.769 -46.113 30 5.503
0 24 176 9.894 3.532 50.963 6.385 40.58 -52.087 7.611 2.717 39.203 4.911 37.182 -47.725 30 5.722
0 24 184 10.827 3.833 55.833 6.929 42.092 -53.821 8.329 2.948 42.948 5.33 38.567 -49.314 30 5.941
0 24 192 11.856 4.165 61.203 7.528 43.646 -55.614 9.12 3.204 47.079 5.791 39.992 -50.956 30 6.17
0 24 200 13.216 4.603 68.303 8.317 45.551 -57.821 10.166 3.541 52.541 6.401 41.736 -52.979 30 6.455
0 24 208 14.695 5.081 76.029 9.13 47.461 -60.046 11.304 3.908 58.484 7.065 43.487 -55.018 30 6.734
0 24 216 16.29 5.595 84.356 9.951 49.366 -62.275 12.531 4.304 64.889 7.78 45.232 -57.06 30 7.0
0 24 224 17.96 6.134 93.071 10.758 51.216 -64.448 13.815 4.718 71.593 8.518 46.927 -59.051 30 7.249
0 24 232 19.491 6.628 101.069 11.458 52.805 -66.322 14.993 5.098 77.746 9.159 48.383 -60.768 30 7.462
0 24 240 21.01 7.118 108.998 12.119 54.292 -68.081 16.162 5.475 83.845 9.764 49.746 -62.38 30 7.663
0 24 248 22.875 7.719 118.737 12.89 56.016 -70.125 17.596 5.938 91.336 10.471 51.325 -64.253 30 7.896
0 32 0 0.256 0.715 0.044 1.293 -15.959 13.899 0.197 0.55 0.034 0.995 -14.622 12.735 30 1.797
0 32 8 0.273 0.721 0.133 1.303 -15.233 10.155 0.21 0.554 0.102 1.002 -13.957 9.304 30 1.562
0 32 16 0.301 0.73 0.28 1.319 -14.095 6.731 0.232 0.561 0.215 1.015 -12.914 6.167 30 1.343
0 32 24 0.365 0.75 0.612 1.356 -11.807 2.181 0.281 0.577 0.471 1.043 -10.818 1.998 30 1.053
0 32 32 0.457 0.78 1.091 1.41 -9.022 -1.924 0.351 0.6 0.84 1.085 -8.267 -1.763 30 0.838
